shapelet,ig
"-0.0001546994166517629, -0.0006690683698686584, -0.001159210624699064, -0.0015488021857548023, -0.0019116247865375302",0.0001181296023929912
"-0.0022103358029802456, -0.0024349386702923193, -0.002581244417907372, -0.0026797341681544587, -0.002723620614649761",0.0001181296023929912
"-0.0026846834397893857, -0.00261524589283043, -0.0024798475780029618, -0.0022965004125220624, -0.002073448229351141",0.0001240578403985948
"-0.0018622187066752133, -0.0015973581755685659, -0.00131923171969574, -0.0010446736717446914, -0.0007719006010330608",9.890882596086392e-05
"-0.0005148134330909271, -0.00027215636270928184, -3.65584140721853e-05, 0.00016141256354489097, 0.00029838694522356726",5.9062284649802343e-05
"0.0004233652020733947, 0.0005196378490436131, 0.000545329632332274, 0.000553384267395169, 0.0005078057967368571",0.0001181296023929912
"0.00041860320321631317, 0.0002959508641447624, 0.0001428807115753689, -6.339796720674154e-05, -0.00031116999622271546",0.00014157201503461891
"-0.0005615613782729784, -0.0008517256073740029, -0.0011608257765276936, -0.0014721630253150993, -0.0017953104053956767",0.0001181296023929912
"-0.002143727893647463, -0.0024791272788926774, -0.0028226450124634317, -0.003175105340723707, -0.0035041033255583144",0.0001181296023929912
"-0.003838361426389339, -0.004132045068383217, -0.004417755889693526, -0.004696826278615493, -0.0049452685501568325",0.0001688729066783301
"-0.005168041386136954, -0.005377088734437957, -0.005544606469489573, -0.005700155857174621, -0.005832985025859508",0.00017720195412118667
"-0.005901343572214262, -0.005962020298822189, -0.005982952090427509, -0.0059965184093016995, -0.005941392390451383",8.361243819454689e-05
"-0.005859662957773355, -0.005751484237808989, -0.005611546141901028, -0.005435461312407977, -0.005228625865551525",0.00047263925377605265
"-0.004972364278826344, -0.00472391012521909, -0.00439536798671071, -0.004065113851671104, -0.0036998413981512504",0.0001181296023929912
"-0.0033038486751753096, -0.002882705642659765, -0.0024486767937285823, -0.0019720487666761433, -0.001491345213596118",0.00010518420891647562
"-0.000989973280055484, -0.00047498157810208635, 2.8911881638804884e-05, 0.0005537894238277436, 0.0010802914038288026",0.0001719077727834195
"0.0016079729779575232, 0.0021089014315348216, 0.0026179439237717234, 0.003094345123224415, 0.0035609378552766274",0.0001181296023929912
"0.00399182720356836, 0.004416183329427345, 0.004788783566793263, 0.005150928346228767, 0.005465119618322769",0.0001181296023929912
"0.005750531928363747, 0.005998480172644412, 0.006203686518650624, 0.0063925148425380204, 0.006522771888648622",0.00010145745366518799
"0.006629490641605833, 0.006695311665118102, 0.006726029802577383, 0.006742393380420925, 0.006734317629849437",5.9062284649802343e-05
"0.00667028898857322, 0.006609448415970127, 0.006511943169947333, 0.006408667094426898, 0.006269611622948867",5.9062284649802343e-05
"0.006118458476301946, 0.005978475116372603, 0.005822102788476773, 0.005644871960476781, 0.005467323295363792",5.9062284649802343e-05
"0.005261826485323888, 0.005074759846412871, 0.004912481984489771, 0.004691714190570608, 0.00451919759253917",5.9062284649802343e-05
"0.004295816182518036, 0.004114284620121866, 0.0038963142860055262, 0.0036890324471233263, 0.0034789828200028593",5.9062284649802343e-05
"0.003274775153551738, 0.0030620248750291065, 0.0028434445878591508, 0.002633513545789553, 0.002384002106020928",0.00017849510720546746
"0.002145495679871351, 0.001898938252730506, 0.0016414541921988407, 0.0013841598141724615, 0.00110399020706934",0.00012241005863944387
"0.0008218835265640899, 0.0005169385334040447, 0.0002137623003384409, -0.00011351717474439305, -0.0004475613329190664",0.0001825892873413837
"-0.000778989263463607, -0.001094454860086743, -0.0014170693057794365, -0.0017577335917624906, -0.002095550303106264",0.0001240578403985948
"-0.0023953435721300632, -0.002690025515883883, -0.002969198199195235, -0.003219648119360277, -0.0034560467851678287",0.0001181296023929912
"-0.0036135517828603976, -0.0037695393683373005, -0.003881753319009855, -0.003943391693213477, -0.00400083004971943",0.0003544492221403406
