shapelet,ig
"0.00017059314431080476, 0.0002635345517934453, 0.00034917135243898653",0.00011898968072043825
"0.0004147774991416185, 0.0004652478338538187, 0.0005163919794008501",0.00010286712647944452
"0.0005434768004503841, 0.000561595461982446, 0.0005635330803154852",0.00023321712770973946
"0.00055811041127689, 0.0005439163556981391, 0.0005109904162546234",0.00020574952149243764
"0.0004792274604997482, 0.0004305113430457348, 0.00037809793324687993",0.00014308039972787956
"0.0003215446374811729, 0.00026190747145350734, 0.0002036451472904044",0.0003086471897527643
"0.0001364923585824105, 6.889561776259392e-05, -1.583295746626287e-06",0.0008149376245796258
"-6.357326166814455e-05, -0.00013102136692786856, -0.00019546092090124388",0.00032222362919298586
"-0.0002573345469447999, -0.00032155585514622234, -0.0003848089339220026",0.0002161132855703629
"-0.0004488665929562501, -0.0005074924980011213, -0.0005684587411386296",0.00010286712647944452
"-0.0006305450886123472, -0.0006924841375207536, -0.0007530469323906216",0.0003610802183889872
"-0.0008124448229106466, -0.0008674071769177154, -0.0009359410695306582",0.00018824216027379936
"-0.0009959167205714106, -0.0010487888511138937, -0.0011067386669751334",0.0003758648181697577
"-0.0011603142374095564, -0.0012026582394093592, -0.0012485334058523288",0.0005144883648807719
"-0.0012843876798978053, -0.0013077699157149313, -0.0013333578418685786",0.0003086471897527643
"-0.0013435130998185295, -0.0013300314160250327, -0.0013115790802612484",0.00020574952149243764
"-0.0012773644505349388, -0.0012295125606596909, -0.0011716386962324046",0.0003086471897527643
"-0.0010891164086869304, -0.0009899839480886864, -0.0008811713484845412",0.0001443474389813959
"-0.0007500318241946361, -0.000610403099981489, -0.00045972938974615796",0.00033395864978302825
"-0.0002905353648611445, -0.00012105893441919334, 6.178034975431838e-05",0.0005095710255003105
"0.00024680417308165143, 0.0004351377734086049, 0.0006192460649824295",0.00028629838608151825
"0.0008003435387278273, 0.0009717575954771938, 0.0011384356609147155",0.0001772083839813865
"0.0012955654249566968, 0.0014347981379077696, 0.0015686547978661734",0.00041156013597609675
