time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-01-10 05:45:54.660000+00:00,38.84067,-122.8225,2.125,0.43,d,7,133.0,2.0,0.03,NC,71507830,2011-01-10T05:47:29.000Z,"Cobb, CA",eq,0.48,1.35,0.14,8,A,NC,NC
2011-01-10 11:52:41.930000+00:00,38.83517,-122.81316,0.864,0.43,d,7,79.0,1.0,0.02,NC,71507910,2011-01-10T11:54:14.000Z,"Cobb, CA",eq,0.39,1.09,0.14,9,A,NC,NC
2011-01-10 12:12:40.140000+00:00,38.82333,-122.78484,1.594,0.53,d,5,106.0,1.0,0.01,NC,71507915,2011-01-10T12:14:15.000Z,"Cobb, CA",eq,0.58,2.57,0.02,6,A,NC,NC
2011-01-10 19:01:36.940000+00:00,38.82483,-122.76117,0.118,1.07,d,36,91.0,1.0,0.06,NC,71508060,2011-01-13T02:18:28.000Z,"Cobb, CA",eq,0.12,0.14,0.06,9,F,NC,NC
2011-01-10 22:47:15.580000+00:00,38.83333,-122.811,1.899,0.89,d,14,105.0,2.0,0.06,NC,71508170,2011-01-10T22:48:49.000Z,"Cobb, CA",eq,0.34,0.59,0.01,16,A,NC,NC
2011-01-10 23:03:09.840000+00:00,38.848,-122.82484,3.518,0.08,d,4,308.0,3.0,0.0,NC,71508175,2011-01-10T23:04:44.000Z,"Cobb, CA",eq,6.83,4.37,0.0,5,A,NC,NC
2011-01-11 01:31:12.170000+00:00,38.8325,-122.80733,1.744,1.73,d,50,26.0,1.0,0.05,NC,71508275,2011-01-13T02:23:27.000Z,"Cobb, CA",eq,0.14,0.18,0.2,23,F,NC,NC
2011-01-11 03:02:02.060000+00:00,38.841,-122.7895,2.16,0.29,d,15,123.0,0.0,0.07,NC,71508300,2011-01-11T22:06:26.000Z,"Cobb, CA",eq,0.34,0.46,0.05,3,F,NC,NC
2011-01-11 03:04:12.080000+00:00,38.83383,-122.79716,0.854,0.16,d,7,93.0,1.0,0.02,NC,71508305,2011-07-22T23:38:20.000Z,"Cobb, CA",eq,0.65,0.77,0.09,2,F,NC,NC
2011-01-11 03:35:47.120000+00:00,38.83367,-122.81367,0.664,0.43,d,7,94.0,1.0,0.02,NC,71508310,2011-01-11T03:37:20.000Z,"Cobb, CA",eq,0.36,0.98,0.14,10,A,NC,NC
2011-01-11 03:41:21.060000+00:00,38.83967,-122.7765,1.553,0.78,d,9,166.0,1.0,0.03,NC,71508315,2011-01-11T03:42:55.000Z,"Cobb, CA",eq,0.31,0.44,0.22,11,A,NC,NC
2011-01-11 04:04:09.390000+00:00,38.8335,-122.81384,1.324,0.31,d,19,44.0,1.0,0.05,NC,71508325,2011-07-23T01:00:44.000Z,"Cobb, CA",eq,0.23,0.41,0.2,4,F,NC,NC
2011-01-11 04:55:25.680000+00:00,38.84283,-122.82584,1.749,0.89,d,14,54.0,1.0,0.05,NC,71508345,2011-01-11T04:57:01.000Z,"Cobb, CA",eq,0.35,0.58,0.09,15,A,NC,NC
2011-01-11 12:04:21.490000+00:00,38.83117,-122.76984,0.31,0.85,d,7,113.0,1.0,0.01,NC,71508440,2011-01-11T12:05:56.000Z,"Cobb, CA",eq,0.31,0.63,0.1,8,A,NC,NC
2011-01-11 15:53:21.920000+00:00,38.81683,-122.75916,0.39,0.88,d,11,81.0,2.0,0.05,NC,71508500,2011-01-11T15:54:56.000Z,"Cobb, CA",eq,0.34,0.71,0.02,14,A,NC,NC
2011-01-11 16:14:12.350000+00:00,38.8345,-122.8085,1.208,0.38,d,7,123.0,1.0,0.03,NC,71508505,2011-01-11T16:15:47.000Z,"Cobb, CA",eq,0.37,0.69,0.12,11,A,NC,NC
2011-01-11 18:10:05.050000+00:00,38.84133,-122.82533,1.729,1.43,d,39,43.0,1.0,0.05,NC,71508555,2011-01-13T02:31:03.000Z,"Cobb, CA",eq,0.16,0.25,0.16,14,F,NC,NC
2011-01-11 19:27:14.800000+00:00,38.81667,-122.77666,1.577,0.53,d,7,100.0,0.0,0.06,NC,71508585,2011-01-11T19:28:47.000Z,"Cobb, CA",eq,0.55,1.19,0.03,9,A,NC,NC
