mag
1.06
1.83
0.56
1.07
1.27
1.17
0.31
0.55
1.4
1.37
0.73
1.36
2.14
1.76
2.48
0.91
2.05
0.72
1.27
1.02
0.99
1.45
0.87
1.16
2.34
1.43
1.06
0.98
0.27
0.94
1.61
0.56
1.88
0.82
0.85
0.76
1.86
0.57
0.37
0.63
2.71
1.17
1.98
0.67
1.98
1.59
1.16
0.62
0.23
1.11
